Distance from the cathode,nH,Err,nCH,Err,nC2,Err
mm,m\+(-3),,m\+(-3),,m\+(-3),
5.04208416833667,5.15162883423465E20,2.31823297540559E20,887595136646146,355038054658458,5.60145796055342E17,2.24058318422137E17
5.07615230460922,5.07034165717848E20,2.28165374573032E20,873745490516605,349498196206642,5.57779592656864E17,2.23111837062746E17
5.11022044088176,5.09048132978659E20,2.29071659840397E20,859895844387064,343958337754826,5.55778042735897E17,2.22311217094359E17
5.14428857715431,5.23093423096197E20,2.35392040393289E20,858347017961488,343338807184595,5.54627350929126E17,2.2185094037165E17
5.17835671342685,4.98717629651535E20,2.24422933343191E20,866954831658453,346781932663381,5.53476659122353E17,2.21390663648941E17
5.2124248496994,4.76295392884785E20,2.14332926798153E20,874969078604505,349987631441802,5.52339286995368E17,2.20935714798147E17
5.24649298597194,4.69584458435602E20,2.11313006296021E20,868811919372481,347524767748992,5.51262083077071E17,2.20504833230828E17
5.28056112224449,4.70853338577443E20,2.11884002359849E20,862654760140456,345061904056182,5.50184879158775E17,2.2007395166351E17
5.31462925851703,4.78670578548563E20,2.15401760346853E20,862514224927815,345005689971126,5.48989114423573E17,2.19595645769429E17
5.34869739478958,5.0563729830401E20,2.27536784236804E20,867652425883125,347060970353250,5.46014937434786E17,2.18405974973914E17
5.38276553106212,4.98011642080496E20,2.24105238936223E20,873259886611815,349303954644726,5.43040760445998E17,2.17216304178399E17
5.41683366733467,4.66148627284993E20,2.09766882278247E20,897074626547711,358829850619084,5.40066583457211E17,2.16026633382884E17
5.45090180360721,4.44152078781378E20,1.9986843545162E20,920889366483606,368355746593442,5.37531630575604E17,2.15012652230242E17
5.48496993987976,4.50873986957103E20,2.02893294130696E20,934786275990587,373914510396235,5.35022856614292E17,2.14009142645717E17
5.51903807615231,4.94372048290542E20,2.22467421730744E20,939439382379357,375775752951743,5.3251408265298E17,2.13005633061192E17
5.55310621242485,5.04915547545646E20,2.27211996395541E20,944061624717288,377624649886915,5.31002027072691E17,2.12400810829076E17
5.5871743486974,5.06807575127163E20,2.28063408807223E20,945643758047684,378257503219074,5.29701396603527E17,2.11880558641411E17
5.62124248496994,5.00189294847335E20,2.25085182681301E20,947225891378080,378890356551232,5.28400766134364E17,2.11360306453746E17
5.65531062124249,5.12376329174968E20,2.30569348128736E20,931101158298095,372440463319238,5.2716163944015E17,2.1086465577606E17
5.68937875751503,5.30427611763833E20,2.38692425293725E20,897446627471833,358978650988733,5.25948093962065E17,2.10379237584826E17
5.72344689378758,5.38858536354745E20,2.42486341359635E20,863792096645570,345516838658228,5.24734548483981E17,2.09893819393592E17
5.75751503006012,5.13887013291961E20,2.31249155981382E20,830008095790545,332003238316218,5.24909581164748E17,2.09963832465899E17
5.79158316633267,4.63492516181641E20,2.08571632281738E20,796223441046484,318489376418594,5.26059572978327E17,2.10423829191331E17
5.82565130260521,4.77916138257581E20,2.15062262215911E20,784028253775707,313611301510283,5.27209564791905E17,2.10883825916762E17
5.85971943887776,4.72181102161414E20,2.12481495972636E20,794535393126320,317814157250528,5.27115873583926E17,2.1084634943357E17
5.8937875751503,4.3798804254178E20,1.97094619143801E20,805042532476933,322017012990773,5.25612674951515E17,2.10245069980606E17
5.92785571142285,4.21822919577347E20,1.89820313809806E20,810667674905100,324267069962040,5.24109476319103E17,2.09643790527641E17
5.96192384769539,4.22934036965698E20,1.90320316634564E20,816192673806651,326477069522660,5.23172289627925E17,2.0926891585117E17
5.99599198396794,4.61596320301633E20,2.07718344135735E20,820932320773346,328372928309338,5.23286267970466E17,2.09314507188186E17
6.03006012024048,4.72243685057676E20,2.12509658275954E20,824794712919189,329917885167676,5.23400246313006E17,2.09360098525202E17
6.06412825651303,4.69044017697547E20,2.11069807963896E20,828657105065032,331462842026013,5.2294949058667E17,2.09179796234668E17
6.09819639278557,4.53885676234473E20,2.04248554305513E20,825622763738934,330249105495574,5.20621375658391E17,2.08248550263356E17
6.13226452905812,4.47335200116255E20,2.01300840052315E20,822336979005005,328934791602002,5.18293260730112E17,2.07317304292045E17
6.16633266533066,4.47859004137774E20,2.01536551861998E20,813829582688605,325531833075442,5.15479711834058E17,2.06191884733623E17
6.20040080160321,4.21335891642198E20,1.89601151238989E20,799125108889711,319650043555884,5.08836628303334E17,2.03534651321334E17
6.23446893787575,4.00961717216959E20,1.80432772747632E20,784420635090817,313768254036327,5.0219354477261E17,2.00877417909044E17
6.2685370741483,3.90834350304283E20,1.75875457636927E20,793375058599038,317350023439615,4.95550461241886E17,1.98220184496754E17
6.30260521042084,4.09418697625749E20,1.84238413931587E20,803581275615572,321432510246229,4.91436759627567E17,1.96574703851027E17
6.33667334669339,4.31575026280379E20,1.94208761826171E20,819383531752601,327753412701040,4.87338966075614E17,1.94935586430246E17
6.37074148296593,4.46457567428306E20,2.00905905342738E20,842244428143892,336897771257557,4.83241172523662E17,1.93296469009465E17
6.40480961923848,4.48536555504421E20,2.01841449976989E20,865105324535182,346042129814073,4.84128919538307E17,1.93651567815323E17
6.43887775551102,4.43836142144687E20,1.99726263965109E20,870885216667255,348354086666902,4.85728886633894E17,1.94291554653558E17
6.47294589178357,4.33067099286898E20,1.94880194679104E20,875471275168308,350188510067323,4.87328853729481E17,1.94931541491792E17
6.50701402805611,4.17325840024051E20,1.87796628010823E20,879377124480703,351750849792281,4.8721767883857E17,1.94887071535428E17
6.54108216432866,3.97174698354338E20,1.78728614259452E20,882370693234194,352948277293678,4.86554978844573E17,1.94621991537829E17
6.5751503006012,4.01544395496247E20,1.80694977973311E20,885364261987684,354145704795074,4.85892278850575E17,1.9435691154023E17
6.60921843687375,4.10762613757946E20,1.84843176191076E20,884832203177789,353932881271116,4.84792291978215E17,1.93916916791286E17
6.64328657314629,4.25999400891888E20,1.9169973040135E20,883991892777652,353596757111061,4.83443651782864E17,1.93377460713146E17
6.67735470941884,4.16878873025121E20,1.87595492861304E20,871014316550979,348405726620392,4.82095011587513E17,1.92838004635005E17
6.71142284569138,4.06911500017962E20,1.83110175008083E20,840718934205955,336287573682382,4.7925110879949E17,1.91700443519796E17
